Date,Campaign_Platform,Campaign_Type,Ad_Spend_USD,Clicks,Impressions,Conversions,Revenue_USD,Target_Audience,SEO_Keyword,SEO_Search_Volume,SEO_Difficulty
2024-11-14,Instagram,App Install,224.24,1766,20592,7,0.0,Working Professionals,free habit tracker,49525,1.8
2024-03-16,Facebook,Performance/ROAS,333.05,3609,5906,3,67.37400000000001,Millennials,free habit tracker,16285,1.1
2024-09-29,Google Search,Performance/ROAS,264.72,3063,24038,5,38.15,Working Professionals,best budget planning app,15040,3.2
2024-04-21,TikTok,Performance/ROAS,66.87,3686,49853,7,673.58,Millennials,best budget planning app,21175,1.5
2024-12-17,Facebook,App Install,245.23,3762,27839,10,0.0,Gen Z,free habit tracker,21970,4.9
2024-05-11,Facebook,Performance/ROAS,82.08,1059,45288,5,989.02,Gen Z,mobile finance solutions,35479,1.7
2024-01-09,Google Search,Performance/ROAS,53.06,244,45185,9,632.4,Gen Z,top rated productivity app,2723,2.5
2024-05-02,Facebook,Re-engagement,193.13,2375,45506,8,413.33,Working Professionals,free habit tracker,32848,1.2
2024-12-01,Google Search,App Install,373.91,253,3475,4,0.0,Gen Z,mobile finance solutions,14851,2.8
2024-11-01,Google Search,Re-engagement,93.44,360,30969,11,346.91,Students,easy goal setting,39349,0.9
2024-01-26,TikTok,Performance/ROAS,267.57,1416,40778,9,399.32,Millennials,top rated productivity app,11571,4.2
2024-05-26,Google Search,Performance/ROAS,321.72,4600,15850,5,434.74,Working Professionals,easy goal setting,13954,2.7
2024-11-23,Google Search,Re-engagement,58.55,2083,32476,7,403.44,Gen Z,best budget planning app,8617,3.4
2024-12-08,TikTok,Brand Awareness,176.32,4059,37459,17,164.31,Millennials,easy goal setting,22940,1.2
2024-10-03,Google Search,Performance/ROAS,486.86,4745,45618,14,526.68,Students,top rated productivity app,7590,1.4
2024-12-13,TikTok,Re-engagement,411.43,2869,41968,10,868.67,Students,secure investment tracker,9556,4.3
2024-07-07,TikTok,Re-engagement,424.59,3947,42814,8,443.76,Students,free habit tracker,8991,3.8
2024-02-16,Google Search,Performance/ROAS,423.43,474,15817,10,356.62,Millennials,free habit tracker,5430,3.7
2024-09-03,Instagram,Performance/ROAS,38.23,503,21211,14,352.91,Gen Z,top rated productivity app,43970,2.9
2024-04-30,TikTok,App Install,374.96,2793,5992,8,0.0,Millennials,top rated productivity app,2165,2.0
2024-03-17,Google Search,Performance/ROAS,459.89,3136,13977,4,64.22000000000001,Millennials,secure investment tracker,35911,2.0
2024-08-24,Facebook,Performance/ROAS,13.32,1266,35709,8,790.15,Gen Z,mobile finance solutions,20576,1.3
2024-02-19,Facebook,Re-engagement,334.89,1264,31486,6,932.89,Gen Z,free habit tracker,6851,3.1
2024-09-07,Facebook,Performance/ROAS,212.18,4951,12875,7,284.8,Gen Z,mobile finance solutions,12193,2.3
2024-08-20,TikTok,App Install,142.98,2992,23127,8,0.0,Working Professionals,secure investment tracker,40684,3.5
2024-02-09,Facebook,Performance/ROAS,309.46,1221,29185,15,191.62,Students,secure investment tracker,32700,1.4
2024-09-28,Google Search,Performance/ROAS,228.93,2485,26445,6,113.67,Gen Z,top rated productivity app,35706,1.3
2024-10-03,Google Search,Performance/ROAS,135.61,2754,49099,6,934.88,Millennials,easy goal setting,47135,4.1
2024-12-06,Google Search,Brand Awareness,121.83,3789,22557,6,573.52,Working Professionals,free habit tracker,45736,3.3
2024-08-29,Facebook,Brand Awareness,5.31,3267,38672,6,195.36,Millennials,easy goal setting,3629,3.7
2024-04-06,TikTok,Brand Awareness,183.13,1293,36823,13,771.54,Students,best budget planning app,2022,4.0
2024-01-14,Google Search,Performance/ROAS,203.34,1505,17776,12,379.18,Gen Z,top rated productivity app,29282,4.3
2024-07-18,Instagram,Re-engagement,357.12,4791,46091,14,659.84,Working Professionals,mobile finance solutions,26717,4.1
2024-10-04,Google Search,Performance/ROAS,112.29,2784,30210,7,442.36,Working Professionals,mobile finance solutions,30857,1.7
2024-04-02,Google Search,Performance/ROAS,351.47,1647,36115,9,869.86,Millennials,mobile finance solutions,29067,2.2
2024-04-21,Google Search,Performance/ROAS,225.98,3693,9920,7,25.97,Students,best budget planning app,25285,2.7
2024-03-12,Facebook,Performance/ROAS,449.23,3816,23141,9,67.34,Gen Z,easy goal setting,16353,1.2
2024-02-19,Facebook,Performance/ROAS,449.18,1067,20912,12,468.86,Working Professionals,mobile finance solutions,2896,2.4
2024-08-04,Google Search,Performance/ROAS,231.64,1387,42224,13,224.13,Gen Z,mobile finance solutions,21173,2.5
2024-12-19,Google Search,App Install,298.57,4239,39018,7,0.0,Millennials,free habit tracker,10034,2.4
2024-07-01,Google Search,Performance/ROAS,290.95,669,36228,11,816.81,Gen Z,easy goal setting,13249,0.6
2024-12-28,Google Search,App Install,164.05,1345,28834,12,0.0,Working Professionals,secure investment tracker,40894,1.0
2024-10-15,TikTok,App Install,173.72,1255,41118,7,0.0,Working Professionals,easy goal setting,8162,0.9
2024-09-23,Google Search,Performance/ROAS,75.62,598,48186,11,585.78,Working Professionals,easy goal setting,31943,3.5
2024-12-12,Facebook,Performance/ROAS,393.61,3455,28401,4,80.69800000000001,Working Professionals,secure investment tracker,21028,4.0
2024-07-28,Facebook,Performance/ROAS,173.38,599,27908,9,779.61,Gen Z,top rated productivity app,45291,1.6
2024-03-29,TikTok,Brand Awareness,494.0,4274,17018,13,727.13,Students,free habit tracker,36098,3.1
2024-12-20,Instagram,Re-engagement,179.0,4464,10207,14,672.26,Gen Z,easy goal setting,9164,1.2
2024-02-16,Instagram,Performance/ROAS,456.57,4316,44593,8,896.97,Working Professionals,best budget planning app,16675,4.5
2024-04-12,Google Search,Re-engagement,472.12,2114,27471,6,729.03,Students,secure investment tracker,20967,4.0
2024-04-30,Google Search,Performance/ROAS,53.24,4427,46861,10,193.89,Students,best budget planning app,24553,2.7
2024-06-24,Google Search,Performance/ROAS,155.31,855,36436,11,767.84,Gen Z,free habit tracker,25017,1.5
2024-04-13,Facebook,Re-engagement,161.41,3186,31773,7,929.82,Students,secure investment tracker,49865,4.0
2024-05-26,Google Search,App Install,46.59,950,28734,7,0.0,Working Professionals,top rated productivity app,4809,1.5
2024-04-08,Google Search,Performance/ROAS,203.05,4457,36257,12,407.13,Millennials,secure investment tracker,26341,4.0
2024-07-03,Facebook,Performance/ROAS,343.93,4483,35626,10,304.25,Millennials,best budget planning app,46594,4.9
2024-08-24,Instagram,Performance/ROAS,29.47,700,36944,13,890.89,Working Professionals,easy goal setting,30878,4.4
2024-09-22,Google Search,Performance/ROAS,100.17,4804,22998,17,287.91,Millennials,free habit tracker,11719,4.8
2024-05-16,Facebook,Brand Awareness,86.24,1417,30262,15,538.14,Gen Z,free habit tracker,14444,0.9
2024-04-15,Google Search,App Install,498.92,1492,32467,9,0.0,Millennials,best budget planning app,29139,3.5
2024-10-29,Facebook,Brand Awareness,113.77,4151,20654,10,288.54,Gen Z,free habit tracker,10777,2.6
2024-05-29,Google Search,Performance/ROAS,289.29,659,1689,11,579.62,Millennials,secure investment tracker,19170,3.9
2024-07-04,TikTok,App Install,305.47,1352,19926,17,0.0,Students,easy goal setting,18621,2.0
2024-05-19,TikTok,Brand Awareness,78.2,2630,31557,16,150.41,Working Professionals,mobile finance solutions,26631,1.5
2024-09-10,Google Search,App Install,30.93,2501,20083,11,0.0,Students,mobile finance solutions,37265,4.1
2024-02-17,Google Search,Performance/ROAS,144.88,3762,13968,13,394.91,Working Professionals,easy goal setting,29403,1.6
2024-02-12,Instagram,Re-engagement,195.7,4394,37871,9,330.21,Working Professionals,free habit tracker,27971,4.4
2024-10-07,Facebook,Performance/ROAS,343.43,4322,26190,14,96.1,Students,best budget planning app,6552,0.8
2024-09-01,Instagram,Performance/ROAS,285.36,4314,19545,6,412.73,Millennials,best budget planning app,9115,1.1
2024-09-22,Google Search,Re-engagement,184.04,240,8108,6,214.88,Millennials,top rated productivity app,43028,1.8
2024-11-26,TikTok,App Install,415.67,4102,5670,10,0.0,Students,secure investment tracker,47762,4.9
2024-08-12,Facebook,Performance/ROAS,245.9,2131,36270,13,203.43,Gen Z,top rated productivity app,1114,2.4
2024-12-23,Instagram,Performance/ROAS,252.08,3717,8904,11,176.57,Working Professionals,secure investment tracker,48307,2.6
2024-01-04,Facebook,Performance/ROAS,82.61,1179,1039,13,204.92,Millennials,free habit tracker,37052,1.1
2024-08-06,Google Search,Re-engagement,140.62,3710,40913,8,8.79,Working Professionals,free habit tracker,30426,1.5
2024-03-16,Instagram,Performance/ROAS,273.96,4844,48630,12,93.46,Working Professionals,best budget planning app,48560,1.6
2024-09-30,Facebook,Performance/ROAS,136.96,3133,17205,11,157.07,Working Professionals,easy goal setting,18950,4.9
2024-02-19,Google Search,Re-engagement,146.18,4156,6065,8,151.57,Working Professionals,secure investment tracker,46025,3.3
2024-12-27,Google Search,Performance/ROAS,202.19,696,30546,7,368.11,Working Professionals,best budget planning app,12361,0.6
2024-02-12,Google Search,Re-engagement,414.26,3911,26407,12,707.24,Millennials,mobile finance solutions,48722,4.3
2024-07-17,Facebook,Re-engagement,208.35,246,8310,3,38.676,Students,free habit tracker,33840,2.7
2024-05-09,Google Search,Re-engagement,62.43,2991,7730,8,242.28,Gen Z,mobile finance solutions,23268,2.6
2024-12-04,Facebook,Performance/ROAS,282.16,2109,48672,10,723.64,Millennials,top rated productivity app,38499,4.0
2024-03-12,Facebook,App Install,415.65,2143,30270,8,0.0,Millennials,mobile finance solutions,34774,4.7
2024-10-05,Google Search,Performance/ROAS,259.88,1326,26038,10,920.31,Working Professionals,free habit tracker,33181,2.0
2024-09-25,Instagram,Performance/ROAS,6.88,4562,31872,7,574.62,Gen Z,mobile finance solutions,40929,4.7
2024-12-05,Facebook,Performance/ROAS,322.53,2142,45562,8,62.5,Working Professionals,secure investment tracker,21824,2.9
2024-04-24,Google Search,Re-engagement,368.59,2245,25851,12,967.35,Gen Z,free habit tracker,11203,4.4
2024-05-27,Instagram,App Install,361.22,1546,17719,10,0.0,Students,top rated productivity app,24556,0.8
2024-08-26,Facebook,App Install,340.26,3989,13701,12,0.0,Students,top rated productivity app,40314,1.7
2024-02-12,TikTok,App Install,260.48,3528,28421,15,0.0,Students,top rated productivity app,17171,2.1
2024-03-11,Facebook,Re-engagement,187.11,4253,39763,7,243.46,Students,secure investment tracker,20101,2.3
2024-04-06,Google Search,Re-engagement,47.99,4456,11249,12,491.75,Students,top rated productivity app,12797,2.9
2024-06-01,Facebook,Performance/ROAS,262.04,4785,26970,11,126.89,Millennials,easy goal setting,20833,1.2
2024-06-03,Google Search,Re-engagement,83.87,3014,33160,15,810.27,Millennials,free habit tracker,4755,1.1
2024-02-08,Instagram,App Install,80.05,1871,23939,7,0.0,Students,best budget planning app,37112,3.0
2024-03-24,Instagram,Performance/ROAS,151.95,3471,34636,12,356.06,Millennials,easy goal setting,17423,2.8
2024-04-17,Facebook,Performance/ROAS,140.23,3456,29280,6,999.81,Working Professionals,easy goal setting,26737,0.6
2024-02-11,Instagram,Performance/ROAS,65.26,1056,30247,6,618.62,Gen Z,easy goal setting,14907,3.1
2024-12-21,Google Search,Performance/ROAS,19.68,1725,35793,10,871.15,Gen Z,best budget planning app,28659,4.7
2024-01-28,Google Search,Performance/ROAS,18.81,3722,5969,13,97.06,Gen Z,free habit tracker,30238,2.7
2024-07-05,TikTok,Performance/ROAS,214.69,913,49787,10,113.39,Gen Z,easy goal setting,47220,0.9
2024-09-03,Google Search,App Install,419.72,3177,29950,10,0.0,Working Professionals,mobile finance solutions,5200,4.2
2024-06-21,Google Search,Performance/ROAS,303.71,2465,23404,9,284.05,Millennials,easy goal setting,28299,1.0
2024-06-23,Google Search,Re-engagement,324.32,1949,43756,14,675.39,Gen Z,easy goal setting,27549,1.0
2024-03-22,Google Search,Re-engagement,399.58,4514,35916,11,896.95,Millennials,best budget planning app,14559,4.2
2024-05-22,Google Search,Brand Awareness,179.19,2091,9235,13,797.89,Working Professionals,free habit tracker,15528,1.1
2024-12-06,Google Search,Brand Awareness,42.67,478,27203,11,881.93,Gen Z,mobile finance solutions,46675,1.3
2024-05-26,Google Search,Performance/ROAS,393.58,2625,29058,6,624.46,Millennials,secure investment tracker,11685,1.9
2024-11-23,Instagram,Performance/ROAS,36.21,1375,15193,8,779.28,Working Professionals,easy goal setting,29869,0.8
2024-04-16,Facebook,App Install,239.5,3272,23913,7,0.0,Millennials,easy goal setting,17134,2.3
2024-12-01,TikTok,App Install,60.07,2315,49577,11,0.0,Gen Z,easy goal setting,14755,2.3
2024-04-05,Instagram,Re-engagement,106.16,4794,4010,15,386.53,Students,free habit tracker,26018,3.3
2024-04-06,Facebook,Re-engagement,40.04,3556,42592,10,102.03,Working Professionals,mobile finance solutions,14538,3.6
2024-09-23,Facebook,Performance/ROAS,322.47,3294,6075,15,734.68,Millennials,mobile finance solutions,33944,0.8
2024-10-29,Google Search,Re-engagement,227.09,1614,28966,14,507.42,Millennials,mobile finance solutions,25297,2.5
2024-02-11,Facebook,Performance/ROAS,348.02,4746,20589,21,980.59,Working Professionals,top rated productivity app,42612,1.5
2024-11-23,Google Search,Re-engagement,493.94,4648,24820,10,962.12,Students,top rated productivity app,37845,4.5
2024-06-20,Instagram,Performance/ROAS,321.48,1551,44140,7,679.5,Millennials,top rated productivity app,33192,4.3
2024-05-09,Facebook,Performance/ROAS,60.9,4684,15900,7,618.5,Working Professionals,secure investment tracker,32588,1.2
2024-03-31,Facebook,Performance/ROAS,162.39,93,49854,12,87.79,Gen Z,best budget planning app,48140,3.4
2024-03-18,TikTok,Performance/ROAS,426.44,1674,43583,7,45.72,Gen Z,easy goal setting,4653,3.6
2024-09-20,Facebook,Performance/ROAS,232.92,4256,6372,6,603.35,Working Professionals,top rated productivity app,46415,3.9
2024-01-04,Google Search,App Install,247.33,4396,31892,10,0.0,Working Professionals,secure investment tracker,43909,4.2
2024-11-13,Facebook,Performance/ROAS,232.84,4241,41256,8,830.8,Millennials,top rated productivity app,24279,3.4
2024-11-17,Facebook,Re-engagement,303.31,68,47777,5,86.17,Gen Z,top rated productivity app,32601,4.2
2024-03-22,Instagram,Performance/ROAS,260.29,4526,12389,6,189.48,Millennials,secure investment tracker,14989,3.4
2024-11-12,Google Search,Performance/ROAS,258.87,4697,11947,11,557.49,Gen Z,best budget planning app,11692,1.8
2024-08-01,TikTok,App Install,243.21,4656,15471,8,0.0,Students,top rated productivity app,41035,1.0
2024-01-10,Google Search,Performance/ROAS,109.13,4604,36134,5,494.3,Students,secure investment tracker,9290,1.3
2024-09-25,Facebook,App Install,375.58,1495,42873,7,0.0,Working Professionals,top rated productivity app,8287,3.8
2024-06-05,Facebook,Re-engagement,389.95,883,14396,14,612.15,Students,free habit tracker,16953,3.8
2024-01-16,Instagram,Performance/ROAS,327.96,4760,36429,10,968.48,Working Professionals,top rated productivity app,30757,1.4
2024-03-17,Google Search,Brand Awareness,205.97,958,42723,9,505.98,Gen Z,best budget planning app,42837,2.7
2024-02-24,Instagram,Performance/ROAS,265.54,134,26698,11,313.11,Students,free habit tracker,27267,2.5
2024-04-01,Google Search,Performance/ROAS,191.25,3206,3757,4,93.099,Students,top rated productivity app,21681,4.4
2024-08-04,Google Search,Performance/ROAS,318.65,1485,41584,6,800.05,Gen Z,secure investment tracker,16065,1.8
2024-04-22,Google Search,App Install,437.18,1968,31772,13,0.0,Millennials,best budget planning app,34081,2.0
2024-05-22,Instagram,App Install,303.6,3891,30239,12,0.0,Millennials,easy goal setting,11849,4.6
2024-06-21,Google Search,App Install,384.97,3525,47470,11,0.0,Working Professionals,mobile finance solutions,3609,1.5
2024-10-12,Facebook,Brand Awareness,404.86,4107,40023,9,317.46,Students,free habit tracker,38863,2.3
2024-05-28,Google Search,Re-engagement,262.53,412,30346,11,733.71,Students,secure investment tracker,6340,2.7
2024-12-06,Google Search,Performance/ROAS,326.5,2363,27539,12,654.19,Working Professionals,top rated productivity app,40097,2.3
2024-10-28,Instagram,App Install,189.78,2705,15991,5,0.0,Working Professionals,free habit tracker,16796,3.5
2024-08-09,Google Search,Performance/ROAS,78.82,922,16779,11,179.89,Students,easy goal setting,24960,3.5
2024-10-14,Facebook,Performance/ROAS,198.1,2135,32298,11,857.27,Students,secure investment tracker,14403,2.4
2024-04-05,Facebook,App Install,113.73,2085,4286,6,0.0,Working Professionals,top rated productivity app,26711,2.8
2024-04-27,Google Search,Performance/ROAS,337.92,4726,7542,8,5.73,Students,free habit tracker,5796,2.8
2024-12-07,Facebook,Performance/ROAS,68.88,4629,7538,13,68.23,Working Professionals,easy goal setting,4041,0.6
2024-05-21,TikTok,Re-engagement,353.01,2684,34312,13,881.4,Working Professionals,top rated productivity app,45808,3.0
2024-07-01,Google Search,App Install,207.55,3616,25384,11,0.0,Students,top rated productivity app,27622,3.6
2024-03-04,Facebook,App Install,267.4,4504,7874,12,0.0,Millennials,best budget planning app,2415,1.7
2024-08-27,Facebook,Performance/ROAS,31.01,3501,32427,7,222.04,Working Professionals,free habit tracker,569,2.5
2024-07-19,Facebook,Performance/ROAS,208.21,1339,38448,8,779.8,Millennials,easy goal setting,9980,1.6
2024-07-23,Google Search,Performance/ROAS,210.91,2353,18504,9,111.38,Gen Z,mobile finance solutions,12074,2.7
2024-12-30,Facebook,Performance/ROAS,207.62,2915,12775,9,84.06,Students,best budget planning app,22403,3.1
2024-02-23,TikTok,Performance/ROAS,282.47,669,13046,7,704.44,Students,best budget planning app,2210,3.9
2024-04-03,Google Search,Performance/ROAS,43.73,3499,28144,11,198.67,Gen Z,best budget planning app,16875,1.7
2024-06-27,TikTok,Brand Awareness,496.7,3469,34583,4,5.586,Working Professionals,free habit tracker,7768,3.4
2024-09-14,Facebook,Brand Awareness,391.25,3640,8216,9,611.97,Gen Z,secure investment tracker,30006,3.9
2024-08-06,Facebook,Re-engagement,201.48,4215,12133,11,951.05,Working Professionals,easy goal setting,7154,4.6
2024-07-07,Google Search,Brand Awareness,367.3,4781,10168,10,849.66,Millennials,free habit tracker,4660,1.8
2024-10-22,Facebook,Performance/ROAS,462.47,4278,43436,12,574.35,Students,best budget planning app,23162,2.4
2024-01-20,Instagram,Performance/ROAS,381.77,1021,14908,18,701.25,Gen Z,mobile finance solutions,35203,4.6
2024-10-27,Facebook,App Install,140.46,1213,19913,14,0.0,Students,top rated productivity app,14551,0.7
2024-02-24,TikTok,App Install,444.19,2790,5685,13,0.0,Students,mobile finance solutions,12099,3.6
2024-05-04,Facebook,Performance/ROAS,439.99,2655,24852,7,795.27,Working Professionals,free habit tracker,30420,3.6
2024-09-11,Google Search,Performance/ROAS,260.04,2937,10393,15,403.21,Students,secure investment tracker,41552,3.0
2024-02-19,Instagram,Performance/ROAS,326.89,3083,30415,11,260.24,Working Professionals,best budget planning app,38009,2.6
2024-01-14,Google Search,Re-engagement,202.87,1523,15224,10,942.3,Working Professionals,best budget planning app,37028,4.0
2024-07-03,Facebook,Re-engagement,318.49,3430,30102,12,509.07,Working Professionals,easy goal setting,40363,5.0
2024-10-10,Instagram,Performance/ROAS,38.84,4345,25958,10,525.59,Millennials,best budget planning app,14012,1.1
2024-01-24,Facebook,Performance/ROAS,407.33,3264,45437,6,386.86,Millennials,best budget planning app,5235,3.4
2024-02-25,Facebook,Re-engagement,236.08,3739,48959,7,681.28,Working Professionals,easy goal setting,45422,1.8
2024-12-23,Google Search,Re-engagement,220.17,647,6261,10,603.19,Working Professionals,mobile finance solutions,23200,2.6
2024-09-16,TikTok,Performance/ROAS,173.29,963,9214,4,31.572000000000003,Students,easy goal setting,16810,2.1
2024-01-09,Google Search,Performance/ROAS,124.22,1922,11063,11,716.63,Millennials,mobile finance solutions,13872,3.2
2024-08-04,Google Search,Re-engagement,54.69,2277,33074,12,470.95,Millennials,secure investment tracker,25038,3.4
2024-01-27,Instagram,Performance/ROAS,155.31,944,7398,9,734.57,Students,top rated productivity app,18940,4.7
