Date,Platform,Campaign_Type,Ad_Spend_USD,Clicks,Impressions,Conversions,Revenue_USD,Target_Audience,SEO_Keyword,SEO_Search_Volume,SEO_Difficulty,CAC_USD,ROAS
2024-06-24,Google Search,App Install,377.97,4313,47041,9,0.0,Working Professionals,secure investment tracker,11386,0.9,41.99666666666667,0.0
2024-08-04,Facebook,Performance/ROAS,464.87,1209,23231,8,267.91,Millennials,mobile finance solutions,3619,1.6,58.10875,0.5763116570223934
2024-10-21,Google Search,Re-engagement,429.25,1606,31301,13,828.12,Students,secure investment tracker,40587,2.6,33.01923076923077,1.929225393127548
2024-06-18,Facebook,Performance/ROAS,199.53,1307,47008,6,642.72,Gen Z,easy goal setting,3645,1.6,33.255,3.2211697489099387
2024-11-07,TikTok,Re-engagement,40.27,3163,30561,7,230.48,Gen Z,mobile finance solutions,16511,1.6,5.752857142857144,5.723367270921281
2024-08-19,Google Search,Performance/ROAS,177.96,3285,28334,14,386.91,Students,secure investment tracker,42720,3.6,12.711428571428572,2.1741402562373566
2024-04-29,TikTok,App Install,189.74,353,7893,11,0.0,Working Professionals,easy goal setting,6830,4.1,17.24909090909091,0.0
2024-06-04,Facebook,App Install,425.68,4625,8641,11,0.0,Students,easy goal setting,30952,0.6,38.698181818181816,0.0
2024-07-06,Google Search,Performance/ROAS,23.25,4385,22164,10,604.7,Working Professionals,best budget planning app,44469,0.7,2.325,26.008602150537637
2024-11-12,Facebook,Brand Awareness,339.61,184,14410,6,332.81,Millennials,best budget planning app,1447,4.4,56.60166666666667,0.9799770324784312
2024-09-06,Instagram,Performance/ROAS,115.15,4119,10173,20,119.4,Working Professionals,top rated productivity app,27810,2.3,5.7575,1.036908380373426
2024-06-07,Facebook,App Install,81.95,2203,47201,7,0.0,Students,secure investment tracker,9119,2.6,11.707142857142857,0.0
2024-01-25,Instagram,Re-engagement,284.62,4744,28254,15,440.49,Gen Z,best budget planning app,40252,0.9,18.974666666666668,1.547642470662638
2024-10-19,Instagram,Performance/ROAS,460.36,397,1634,11,690.85,Millennials,free habit tracker,16277,3.0,41.85090909090909,1.5006733860457033
2024-06-06,Facebook,Performance/ROAS,119.92,4241,44373,9,27.29,Gen Z,top rated productivity app,8742,3.2,13.324444444444445,0.2275683789192795
2024-09-21,Google Search,App Install,262.18,3651,21463,8,0.0,Students,easy goal setting,48600,3.5,32.7725,0.0
2024-12-27,Google Search,App Install,472.02,2981,13430,7,0.0,Working Professionals,best budget planning app,48008,4.7,67.43142857142857,0.0
2024-08-04,Facebook,Performance/ROAS,81.98,1237,16868,7,336.77,Students,mobile finance solutions,49653,3.5,11.711428571428572,4.107953159307148
2024-01-05,Facebook,App Install,461.72,2511,14210,15,0.0,Millennials,best budget planning app,49293,3.6,30.781333333333336,0.0
2024-05-21,Facebook,Performance/ROAS,24.98,3583,34492,12,498.88,Working Professionals,secure investment tracker,27898,4.9,2.0816666666666666,19.971176941553242
2024-01-21,TikTok,Re-engagement,285.75,1544,33370,9,633.31,Millennials,secure investment tracker,6762,3.2,31.75,2.216307961504812
2024-03-05,Google Search,App Install,378.82,117,37614,18,0.0,Gen Z,mobile finance solutions,25954,2.4,21.045555555555556,0.0
2024-03-07,Google Search,App Install,103.78,4808,29179,8,0.0,Gen Z,mobile finance solutions,17571,4.3,12.9725,0.0
2024-05-19,Instagram,Performance/ROAS,438.06,3457,33647,6,258.7,Working Professionals,top rated productivity app,22061,0.6,73.01,0.5905583709994064
2024-07-14,TikTok,Performance/ROAS,106.32,1384,37279,9,40.64,Gen Z,easy goal setting,36650,1.5,11.813333333333333,0.38224228743416105
2024-08-12,Instagram,Performance/ROAS,338.14,956,18896,9,760.33,Millennials,easy goal setting,11122,0.5,37.57111111111111,2.2485656828532563
2024-04-09,Google Search,Performance/ROAS,401.72,2382,33496,11,492.82,Gen Z,secure investment tracker,12671,3.8,36.52,1.2267748680673105
2024-04-07,Instagram,Re-engagement,34.05,979,5812,13,758.17,Millennials,easy goal setting,9733,1.9,2.619230769230769,22.266372980910425
2024-08-07,TikTok,Performance/ROAS,153.94,4108,45831,9,284.65,Gen Z,best budget planning app,29007,4.0,17.104444444444443,1.8490970507990125
2024-05-17,Facebook,Performance/ROAS,208.04,3942,40568,11,946.54,Working Professionals,secure investment tracker,9287,3.4,18.91272727272727,4.549798115746972
2024-10-21,Google Search,Brand Awareness,92.75,1186,14881,4,59.352,Working Professionals,mobile finance solutions,14084,2.0,23.1875,0.6399137466307278
2024-02-01,Facebook,App Install,498.08,777,12287,9,0.0,Millennials,best budget planning app,28497,4.6,55.34222222222222,0.0
2024-10-12,Google Search,Re-engagement,75.09,2698,4844,8,447.2,Working Professionals,mobile finance solutions,6234,2.8,9.38625,5.955520042615528
2024-11-18,Instagram,Performance/ROAS,471.38,1107,39267,6,525.15,Millennials,top rated productivity app,33313,1.7,78.56333333333333,1.1140693283550427
2024-06-01,TikTok,Performance/ROAS,182.7,2818,23093,6,971.26,Millennials,secure investment tracker,10023,3.6,30.45,5.316146688560482
2024-05-21,Facebook,Re-engagement,32.32,2818,9038,10,2.74,Millennials,mobile finance solutions,8084,0.7,3.232,0.08477722772277228
2024-11-09,Google Search,Brand Awareness,62.34,900,25632,12,393.78,Millennials,easy goal setting,16445,2.1,5.195,6.31665062560154
2024-10-22,Google Search,Re-engagement,438.81,1467,30502,5,608.46,Millennials,best budget planning app,28109,1.7,87.762,1.3866137964039107
2024-11-14,Instagram,App Install,224.24,1766,20592,7,0.0,Working Professionals,free habit tracker,49525,1.8,32.034285714285716,0.0
2024-03-16,Facebook,Performance/ROAS,333.05,3609,5906,3,67.37400000000001,Millennials,free habit tracker,16285,1.1,111.01666666666667,0.20229394985737878
2024-09-29,Google Search,Performance/ROAS,264.72,3063,24038,5,38.15,Working Professionals,best budget planning app,15040,3.2,52.944,0.14411453611362948
2024-04-21,TikTok,Performance/ROAS,66.87,3686,49853,7,673.58,Millennials,best budget planning app,21175,1.5,9.552857142857144,10.072977418872439
2024-12-17,Facebook,App Install,245.23,3762,27839,10,0.0,Gen Z,free habit tracker,21970,4.9,24.523,0.0
2024-05-11,Facebook,Performance/ROAS,82.08,1059,45288,5,989.02,Gen Z,mobile finance solutions,35479,1.7,16.416,12.049463937621832
2024-01-09,Google Search,Performance/ROAS,53.06,244,45185,9,632.4,Gen Z,top rated productivity app,2723,2.5,5.895555555555556,11.918582736524687
2024-05-02,Facebook,Re-engagement,193.13,2375,45506,8,413.33,Working Professionals,free habit tracker,32848,1.2,24.14125,2.140164655931238
2024-12-01,Google Search,App Install,373.91,253,3475,4,0.0,Gen Z,mobile finance solutions,14851,2.8,93.4775,0.0
2024-11-01,Google Search,Re-engagement,93.44,360,30969,11,346.91,Students,easy goal setting,39349,0.9,8.494545454545454,3.7126498287671237
2024-01-26,TikTok,Performance/ROAS,267.57,1416,40778,9,399.32,Millennials,top rated productivity app,11571,4.2,29.73,1.4923945135852301
2024-05-26,Google Search,Performance/ROAS,321.72,4600,15850,5,434.74,Working Professionals,easy goal setting,13954,2.7,64.34400000000001,1.3512992664428696
2024-11-23,Google Search,Re-engagement,58.55,2083,32476,7,403.44,Gen Z,best budget planning app,8617,3.4,8.364285714285714,6.890520922288642
2024-12-08,TikTok,Brand Awareness,176.32,4059,37459,17,164.31,Millennials,easy goal setting,22940,1.2,10.371764705882352,0.9318852087114338
2024-10-03,Google Search,Performance/ROAS,486.86,4745,45618,14,526.68,Students,top rated productivity app,7590,1.4,34.77571428571429,1.0817894261183911
2024-12-13,TikTok,Re-engagement,411.43,2869,41968,10,868.67,Students,secure investment tracker,9556,4.3,41.143,2.111343363391099
2024-07-07,TikTok,Re-engagement,424.59,3947,42814,8,443.76,Students,free habit tracker,8991,3.8,53.07375,1.0451494382816364
2024-02-16,Google Search,Performance/ROAS,423.43,474,15817,10,356.62,Millennials,free habit tracker,5430,3.7,42.343,0.8422171315211487
2024-09-03,Instagram,Performance/ROAS,38.23,503,21211,14,352.91,Gen Z,top rated productivity app,43970,2.9,2.7307142857142854,9.231232016740782
2024-04-30,TikTok,App Install,374.96,2793,5992,8,0.0,Millennials,top rated productivity app,2165,2.0,46.87,0.0
2024-03-17,Google Search,Performance/ROAS,459.89,3136,13977,4,64.22000000000001,Millennials,secure investment tracker,35911,2.0,114.9725,0.13964208832546918
2024-08-24,Facebook,Performance/ROAS,13.32,1266,35709,8,790.15,Gen Z,mobile finance solutions,20576,1.3,1.665,59.32057057057057
2024-02-19,Facebook,Re-engagement,334.89,1264,31486,6,932.89,Gen Z,free habit tracker,6851,3.1,55.815,2.7856609633013827
2024-09-07,Facebook,Performance/ROAS,212.18,4951,12875,7,284.8,Gen Z,mobile finance solutions,12193,2.3,30.31142857142857,1.3422565746064663
2024-08-20,TikTok,App Install,142.98,2992,23127,8,0.0,Working Professionals,secure investment tracker,40684,3.5,17.8725,0.0
2024-02-09,Facebook,Performance/ROAS,309.46,1221,29185,15,191.62,Students,secure investment tracker,32700,1.4,20.630666666666666,0.6192076520390358
2024-09-28,Google Search,Performance/ROAS,228.93,2485,26445,6,113.67,Gen Z,top rated productivity app,35706,1.3,38.155,0.49652732276241646
2024-10-03,Google Search,Performance/ROAS,135.61,2754,49099,6,934.88,Millennials,easy goal setting,47135,4.1,22.60166666666667,6.893886881498414
2024-12-06,Google Search,Brand Awareness,121.83,3789,22557,6,573.52,Working Professionals,free habit tracker,45736,3.3,20.305,4.70754329803825
2024-08-29,Facebook,Brand Awareness,5.31,3267,38672,6,195.36,Millennials,easy goal setting,3629,3.7,0.8849999999999999,36.790960451977405
2024-04-06,TikTok,Brand Awareness,183.13,1293,36823,13,771.54,Students,best budget planning app,2022,4.0,14.086923076923076,4.213072680609403
2024-01-14,Google Search,Performance/ROAS,203.34,1505,17776,12,379.18,Gen Z,top rated productivity app,29282,4.3,16.945,1.864758532507131
2024-07-18,Instagram,Re-engagement,357.12,4791,46091,14,659.84,Working Professionals,mobile finance solutions,26717,4.1,25.50857142857143,1.8476702508960574
2024-10-04,Google Search,Performance/ROAS,112.29,2784,30210,7,442.36,Working Professionals,mobile finance solutions,30857,1.7,16.041428571428572,3.9394425149167334
2024-04-02,Google Search,Performance/ROAS,351.47,1647,36115,9,869.86,Millennials,mobile finance solutions,29067,2.2,39.05222222222223,2.4749196232964406
2024-04-21,Google Search,Performance/ROAS,225.98,3693,9920,7,25.97,Students,best budget planning app,25285,2.7,32.28285714285714,0.11492167448446765
2024-03-12,Facebook,Performance/ROAS,449.23,3816,23141,9,67.34,Gen Z,easy goal setting,16353,1.2,49.91444444444445,0.14990094161120138
2024-02-19,Facebook,Performance/ROAS,449.18,1067,20912,12,468.86,Working Professionals,mobile finance solutions,2896,2.4,37.431666666666665,1.0438131706665479
2024-08-04,Google Search,Performance/ROAS,231.64,1387,42224,13,224.13,Gen Z,mobile finance solutions,21173,2.5,17.818461538461538,0.9675790018994993
2024-12-19,Google Search,App Install,298.57,4239,39018,7,0.0,Millennials,free habit tracker,10034,2.4,42.652857142857144,0.0
2024-07-01,Google Search,Performance/ROAS,290.95,669,36228,11,816.81,Gen Z,easy goal setting,13249,0.6,26.45,2.8073895858394913
2024-12-28,Google Search,App Install,164.05,1345,28834,12,0.0,Working Professionals,secure investment tracker,40894,1.0,13.670833333333334,0.0
2024-10-15,TikTok,App Install,173.72,1255,41118,7,0.0,Working Professionals,easy goal setting,8162,0.9,24.81714285714286,0.0
2024-09-23,Google Search,Performance/ROAS,75.62,598,48186,11,585.78,Working Professionals,easy goal setting,31943,3.5,6.874545454545455,7.746363395927003
2024-12-12,Facebook,Performance/ROAS,393.61,3455,28401,4,80.69800000000001,Working Professionals,secure investment tracker,21028,4.0,98.4025,0.20502019765757984
2024-07-28,Facebook,Performance/ROAS,173.38,599,27908,9,779.61,Gen Z,top rated productivity app,45291,1.6,19.264444444444443,4.4965393932402815
2024-03-29,TikTok,Brand Awareness,494.0,4274,17018,13,727.13,Students,free habit tracker,36098,3.1,38.0,1.471923076923077
2024-12-20,Instagram,Re-engagement,179.0,4464,10207,14,672.26,Gen Z,easy goal setting,9164,1.2,12.785714285714286,3.7556424581005587
2024-02-16,Instagram,Performance/ROAS,456.57,4316,44593,8,896.97,Working Professionals,best budget planning app,16675,4.5,57.07125,1.9645837440042053
2024-04-12,Google Search,Re-engagement,472.12,2114,27471,6,729.03,Students,secure investment tracker,20967,4.0,78.68666666666667,1.5441625010590527
2024-04-30,Google Search,Performance/ROAS,53.24,4427,46861,10,193.89,Students,best budget planning app,24553,2.7,5.324,3.6418106686701726
2024-06-24,Google Search,Performance/ROAS,155.31,855,36436,11,767.84,Gen Z,free habit tracker,25017,1.5,14.11909090909091,4.943918614384135
2024-04-13,Facebook,Re-engagement,161.41,3186,31773,7,929.82,Students,secure investment tracker,49865,4.0,23.05857142857143,5.7606096276562795
2024-05-26,Google Search,App Install,46.59,950,28734,7,0.0,Working Professionals,top rated productivity app,4809,1.5,6.655714285714287,0.0
2024-04-08,Google Search,Performance/ROAS,203.05,4457,36257,12,407.13,Millennials,secure investment tracker,26341,4.0,16.920833333333334,2.005072642206353
2024-07-03,Facebook,Performance/ROAS,343.93,4483,35626,10,304.25,Millennials,best budget planning app,46594,4.9,34.393,0.88462768586631
2024-08-24,Instagram,Performance/ROAS,29.47,700,36944,13,890.89,Working Professionals,easy goal setting,30878,4.4,2.266923076923077,30.23040380047506
2024-09-22,Google Search,Performance/ROAS,100.17,4804,22998,17,287.91,Millennials,free habit tracker,11719,4.8,5.892352941176471,2.8742138364779874
2024-05-16,Facebook,Brand Awareness,86.24,1417,30262,15,538.14,Gen Z,free habit tracker,14444,0.9,5.749333333333333,6.240027829313544
2024-04-15,Google Search,App Install,498.92,1492,32467,9,0.0,Millennials,best budget planning app,29139,3.5,55.43555555555556,0.0
2024-10-29,Facebook,Brand Awareness,113.77,4151,20654,10,288.54,Gen Z,free habit tracker,10777,2.6,11.376999999999999,2.536169464709502
2024-05-29,Google Search,Performance/ROAS,289.29,659,1689,11,579.62,Millennials,secure investment tracker,19170,3.9,26.29909090909091,2.00359500846901
2024-07-04,TikTok,App Install,305.47,1352,19926,17,0.0,Students,easy goal setting,18621,2.0,17.968823529411765,0.0
2024-05-19,TikTok,Brand Awareness,78.2,2630,31557,16,150.41,Working Professionals,mobile finance solutions,26631,1.5,4.8875,1.923401534526854
2024-09-10,Google Search,App Install,30.93,2501,20083,11,0.0,Students,mobile finance solutions,37265,4.1,2.811818181818182,0.0
2024-02-17,Google Search,Performance/ROAS,144.88,3762,13968,13,394.91,Working Professionals,easy goal setting,29403,1.6,11.144615384615385,2.7257730535615683
2024-02-12,Instagram,Re-engagement,195.7,4394,37871,9,330.21,Working Professionals,free habit tracker,27971,4.4,21.744444444444444,1.6873275421563618
2024-10-07,Facebook,Performance/ROAS,343.43,4322,26190,14,96.1,Students,best budget planning app,6552,0.8,24.530714285714286,0.2798241271874909
2024-09-01,Instagram,Performance/ROAS,285.36,4314,19545,6,412.73,Millennials,best budget planning app,9115,1.1,47.56,1.4463484721054107
2024-09-22,Google Search,Re-engagement,184.04,240,8108,6,214.88,Millennials,top rated productivity app,43028,1.8,30.673333333333332,1.1675722668985002
2024-11-26,TikTok,App Install,415.67,4102,5670,10,0.0,Students,secure investment tracker,47762,4.9,41.567,0.0
2024-08-12,Facebook,Performance/ROAS,245.9,2131,36270,13,203.43,Gen Z,top rated productivity app,1114,2.4,18.915384615384617,0.8272875152501017
2024-12-23,Instagram,Performance/ROAS,252.08,3717,8904,11,176.57,Working Professionals,secure investment tracker,48307,2.6,22.916363636363638,0.7004522373849571
2024-01-04,Facebook,Performance/ROAS,82.61,1179,1039,13,204.92,Millennials,free habit tracker,37052,1.1,6.354615384615385,2.480571359399588
2024-08-06,Google Search,Re-engagement,140.62,3710,40913,8,8.79,Working Professionals,free habit tracker,30426,1.5,17.5775,0.0625088892049495
2024-03-16,Instagram,Performance/ROAS,273.96,4844,48630,12,93.46,Working Professionals,best budget planning app,48560,1.6,22.83,0.34114469265586217
2024-09-30,Facebook,Performance/ROAS,136.96,3133,17205,11,157.07,Working Professionals,easy goal setting,18950,4.9,12.450909090909091,1.146831191588785
2024-02-19,Google Search,Re-engagement,146.18,4156,6065,8,151.57,Working Professionals,secure investment tracker,46025,3.3,18.2725,1.0368723491585716
2024-12-27,Google Search,Performance/ROAS,202.19,696,30546,7,368.11,Working Professionals,best budget planning app,12361,0.6,28.884285714285713,1.8206142737029527
2024-02-12,Google Search,Re-engagement,414.26,3911,26407,12,707.24,Millennials,mobile finance solutions,48722,4.3,34.52166666666667,1.7072370009172984
2024-07-17,Facebook,Re-engagement,208.35,246,8310,3,38.676,Students,free habit tracker,33840,2.7,69.45,0.1856299496040317
2024-05-09,Google Search,Re-engagement,62.43,2991,7730,8,242.28,Gen Z,mobile finance solutions,23268,2.6,7.80375,3.8808265257087937
2024-12-04,Facebook,Performance/ROAS,282.16,2109,48672,10,723.64,Millennials,top rated productivity app,38499,4.0,28.216,2.5646441735185705
2024-03-12,Facebook,App Install,415.65,2143,30270,8,0.0,Millennials,mobile finance solutions,34774,4.7,51.95625,0.0
2024-10-05,Google Search,Performance/ROAS,259.88,1326,26038,10,920.31,Working Professionals,free habit tracker,33181,2.0,25.988,3.5412882869016467
2024-09-25,Instagram,Performance/ROAS,6.88,4562,31872,7,574.62,Gen Z,mobile finance solutions,40929,4.7,0.9828571428571429,83.5203488372093
2024-12-05,Facebook,Performance/ROAS,322.53,2142,45562,8,62.5,Working Professionals,secure investment tracker,21824,2.9,40.31625,0.1937804235264937
2024-04-24,Google Search,Re-engagement,368.59,2245,25851,12,967.35,Gen Z,free habit tracker,11203,4.4,30.715833333333332,2.6244607829838036
2024-05-27,Instagram,App Install,361.22,1546,17719,10,0.0,Students,top rated productivity app,24556,0.8,36.122,0.0
2024-08-26,Facebook,App Install,340.26,3989,13701,12,0.0,Students,top rated productivity app,40314,1.7,28.355,0.0
2024-02-12,TikTok,App Install,260.48,3528,28421,15,0.0,Students,top rated productivity app,17171,2.1,17.365333333333336,0.0
2024-03-11,Facebook,Re-engagement,187.11,4253,39763,7,243.46,Students,secure investment tracker,20101,2.3,26.73,1.30115974560419
2024-04-06,Google Search,Re-engagement,47.99,4456,11249,12,491.75,Students,top rated productivity app,12797,2.9,3.999166666666667,10.24692644300896
2024-06-01,Facebook,Performance/ROAS,262.04,4785,26970,11,126.89,Millennials,easy goal setting,20833,1.2,23.821818181818184,0.4842390474736681
2024-06-03,Google Search,Re-engagement,83.87,3014,33160,15,810.27,Millennials,free habit tracker,4755,1.1,5.591333333333334,9.661023011803982
2024-02-08,Instagram,App Install,80.05,1871,23939,7,0.0,Students,best budget planning app,37112,3.0,11.435714285714285,0.0
2024-03-24,Instagram,Performance/ROAS,151.95,3471,34636,12,356.06,Millennials,easy goal setting,17423,2.8,12.6625,2.343270812767358
2024-04-17,Facebook,Performance/ROAS,140.23,3456,29280,6,999.81,Working Professionals,easy goal setting,26737,0.6,23.371666666666666,7.129786778863296
2024-02-11,Instagram,Performance/ROAS,65.26,1056,30247,6,618.62,Gen Z,easy goal setting,14907,3.1,10.876666666666667,9.479313515170087
2024-12-21,Google Search,Performance/ROAS,19.68,1725,35793,10,871.15,Gen Z,best budget planning app,28659,4.7,1.968,44.265752032520325
2024-01-28,Google Search,Performance/ROAS,18.81,3722,5969,13,97.06,Gen Z,free habit tracker,30238,2.7,1.4469230769230768,5.160021265284423
2024-07-05,TikTok,Performance/ROAS,214.69,913,49787,10,113.39,Gen Z,easy goal setting,47220,0.9,21.469,0.5281568773580512
2024-09-03,Google Search,App Install,419.72,3177,29950,10,0.0,Working Professionals,mobile finance solutions,5200,4.2,41.972,0.0
2024-06-21,Google Search,Performance/ROAS,303.71,2465,23404,9,284.05,Millennials,easy goal setting,28299,1.0,33.745555555555555,0.9352671956800896
2024-06-23,Google Search,Re-engagement,324.32,1949,43756,14,675.39,Gen Z,easy goal setting,27549,1.0,23.165714285714284,2.082480266403552
2024-03-22,Google Search,Re-engagement,399.58,4514,35916,11,896.95,Millennials,best budget planning app,14559,4.2,36.32545454545454,2.2447319685669958
2024-05-22,Google Search,Brand Awareness,179.19,2091,9235,13,797.89,Working Professionals,free habit tracker,15528,1.1,13.783846153846154,4.452759640604945
2024-12-06,Google Search,Brand Awareness,42.67,478,27203,11,881.93,Gen Z,mobile finance solutions,46675,1.3,3.8790909090909094,20.668619639090693
2024-05-26,Google Search,Performance/ROAS,393.58,2625,29058,6,624.46,Millennials,secure investment tracker,11685,1.9,65.59666666666666,1.5866151735352407
2024-11-23,Instagram,Performance/ROAS,36.21,1375,15193,8,779.28,Working Professionals,easy goal setting,29869,0.8,4.52625,21.52112676056338
2024-04-16,Facebook,App Install,239.5,3272,23913,7,0.0,Millennials,easy goal setting,17134,2.3,34.214285714285715,0.0
2024-12-01,TikTok,App Install,60.07,2315,49577,11,0.0,Gen Z,easy goal setting,14755,2.3,5.460909090909091,0.0
2024-04-05,Instagram,Re-engagement,106.16,4794,4010,15,386.53,Students,free habit tracker,26018,3.3,7.077333333333333,3.6410135644310473
2024-04-06,Facebook,Re-engagement,40.04,3556,42592,10,102.03,Working Professionals,mobile finance solutions,14538,3.6,4.004,2.548201798201798
2024-09-23,Facebook,Performance/ROAS,322.47,3294,6075,15,734.68,Millennials,mobile finance solutions,33944,0.8,21.498,2.2782894532824756
2024-10-29,Google Search,Re-engagement,227.09,1614,28966,14,507.42,Millennials,mobile finance solutions,25297,2.5,16.220714285714287,2.2344444933726715
2024-02-11,Facebook,Performance/ROAS,348.02,4746,20589,21,980.59,Working Professionals,top rated productivity app,42612,1.5,16.57238095238095,2.8176254238262173
2024-11-23,Google Search,Re-engagement,493.94,4648,24820,10,962.12,Students,top rated productivity app,37845,4.5,49.394,1.9478479167510223
2024-06-20,Instagram,Performance/ROAS,321.48,1551,44140,7,679.5,Millennials,top rated productivity app,33192,4.3,45.925714285714285,2.1136618141097423
2024-05-09,Facebook,Performance/ROAS,60.9,4684,15900,7,618.5,Working Professionals,secure investment tracker,32588,1.2,8.7,10.155993431855501
2024-03-31,Facebook,Performance/ROAS,162.39,93,49854,12,87.79,Gen Z,best budget planning app,48140,3.4,13.532499999999999,0.5406121066568139
2024-03-18,TikTok,Performance/ROAS,426.44,1674,43583,7,45.72,Gen Z,easy goal setting,4653,3.6,60.92,0.10721320701622737
2024-09-20,Facebook,Performance/ROAS,232.92,4256,6372,6,603.35,Working Professionals,top rated productivity app,46415,3.9,38.82,2.590374377468659
2024-01-04,Google Search,App Install,247.33,4396,31892,10,0.0,Working Professionals,secure investment tracker,43909,4.2,24.733,0.0
2024-11-13,Facebook,Performance/ROAS,232.84,4241,41256,8,830.8,Millennials,top rated productivity app,24279,3.4,29.105,3.568115444081773
2024-11-17,Facebook,Re-engagement,303.31,68,47777,5,86.17,Gen Z,top rated productivity app,32601,4.2,60.662,0.2840987768289868
2024-03-22,Instagram,Performance/ROAS,260.29,4526,12389,6,189.48,Millennials,secure investment tracker,14989,3.4,43.38166666666667,0.7279572784202235
2024-11-12,Google Search,Performance/ROAS,258.87,4697,11947,11,557.49,Gen Z,best budget planning app,11692,1.8,23.533636363636365,2.153551975895237
